library,download_month,country,system_name,python_version,downloads
plotly,2018-10,JP,Windows,3,613.752
plotly,2017-03,DE,Linux,3,257.682
plotly,2017-04,CA,Linux,3,187.172
plotly,2017-05,None,Darwin,3,309.276
plotly,2017-08,HK,Linux,3,54.315
plotly,2017-01,NL,Linux,3,518.976
plotly,2017-04,None,Windows,3,434.29
plotly,2017-10,AU,Linux,3,436.08
plotly,2018-09,JP,Windows,3,598.179
plotly,2018-10,BR,Windows,3,597.228
plotly,2017-03,None,Windows,3,419.90200000000004
plotly,2018-11,BR,Windows,3,591.2270000000001
plotly,2017-05,IN,Linux,3,117.8
plotly,2018-04,FR,Linux,3,428.89200000000005
plotly,2018-07,NL,Linux,3,512.11
plotly,2018-08,JP,Windows,3,588.826
plotly,2017-04,DE,Linux,3,241.30199999999996
plotly,2017-07,AU,Linux,3,114.20400000000001
plotly,2018-06,CN,Windows,3,526.932
plotly,2018-02,CN,Windows,3,490.02200000000005
plotly,2017-08,FR,Linux,3,224.22
plotly,2017-05,None,Linux,3,216.23199999999997
plotly,2018-07,None,Darwin,3,428.022
plotly,2018-09,RU,Windows,3,575.157
plotly,2017-12,NL,Linux,3,249.0
plotly,2017-04,None,Linux,3,265.8
plotly,2018-02,NL,Linux,3,322.861
plotly,2017-12,FR,Linux,3,299.788
plotly,2017-06,IN,Windows,3,325.05
plotly,2018-12,DE,Windows,3,529.23
plotly,2018-08,IN,Darwin,3,402.97
plotly,2018-07,None,Linux,3,402.87600000000003
plotly,2017-07,CN,Windows,3,374.985
plotly,2017-02,DE,Linux,3,277.875
plotly,2018-08,PL,Linux,3,480.975
plotly,2018-03,CA,Linux,3,473.166
plotly,2018-08,ES,Linux,3,430.098
plotly,2018-11,KR,Windows,3,556.017
plotly,2017-05,None,Windows,3,402.052
plotly,2017-11,JP,Linux,3,415.28
plotly,2017-12,KR,Linux,3,504.01599999999996
plotly,2017-12,JP,Linux,3,413.13199999999995
plotly,2018-12,GB,Windows,3,533.725
plotly,2017-11,NL,Linux,3,210.128
plotly,2018-01,CN,Linux,3,201.072
plotly,2018-08,CA,Windows,3,468.03200000000004
plotly,2018-06,None,Linux,3,374.85400000000004
plotly,2018-11,CN,Darwin,3,440.94599999999997
plotly,2018-05,FR,Linux,3,409.18800000000005
plotly,2018-09,FR,Windows,3,505.895
plotly,2018-07,AU,Linux,3,384.75200000000007
plotly,2018-03,NL,Linux,3,351.87
plotly,2018-11,AT,Linux,3,469.23800000000006
plotly,2018-04,KR,Linux,3,520.9259999999999
plotly,2018-12,IL,Linux,3,134.75
plotly,2018-09,BR,Windows,3,514.25
plotly,2017-08,CN,Windows,3,377.85
plotly,2017-02,GB,Linux,3,272.904
plotly,2017-07,HK,Linux,3,53.059
plotly,2017-10,NL,Linux,3,235.21
plotly,2018-10,TW,Windows,3,518.154
plotly,2018-05,NL,Linux,3,421.83
plotly,2018-01,JP,Linux,3,398.912
plotly,2017-05,FR,Linux,3,177.12
plotly,2017-06,CA,Linux,3,201.75
plotly,2017-10,HK,Linux,3,100.06800000000001
plotly,2018-10,AU,Windows,3,485.94
plotly,2018-01,KR,Linux,3,470.98800000000006
plotly,2017-10,JP,Linux,3,441.028
plotly,2018-09,IN,Darwin,3,370.107
plotly,2018-02,RU,Windows,3,500.20200000000006
plotly,2018-08,BR,Windows,3,489.051
plotly,2018-11,DE,Darwin,3,441.18600000000004
plotly,2018-05,CN,Linux,3,271.92
plotly,2017-09,CN,Windows,3,310.208
